pitch_type,game_date,release_speed,release_pos_x,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,9/23/2022,88.5,-2.58,"Riley, Austin",ground_ball,1,67.4,-68,88.9,2361,0.234,0.211,2
CH,9/23/2022,89.5,-2.6,"Harris II, Michael",ground_ball,2,66.1,-41,89.5,2064,0.126,0.113,2
FF,9/23/2022,96.5,-2.52,"Swanson, Dansby",line_drive,268,102.9,18,96.2,2047,0.449,0.537,5
FF,9/23/2022,97.1,-2.55,"Grossman, Robbie",fly_ball,295,88.4,39,96.5,2169,0.011,0.016,3
CH,9/23/2022,83.7,-2.61,"Rosario, Eddie",ground_ball,7,63.5,-8,84.5,2266,0.091,0.087,2
FF,9/23/2022,96.1,-2.53,"Grissom, Vaughn",fly_ball,361,100.8,25,95.9,2196,0.56,0.884,6
FF,9/23/2022,96.8,-2.57,"Rosario, Eddie",line_drive,312,92.7,22,97,2124,0.194,0.224,3
SI,9/22/2022,99.8,1.37,"Ozuna, Marcell",line_drive,241,77.2,25,101,2056,0.629,0.607,4
SI,9/22/2022,100.3,1.36,"Harris II, Michael",ground_ball,21,76.8,-6,100.9,2170,0.097,0.089,2
FC,9/22/2022,92.5,-2.65,"Swanson, Dansby",fly_ball,343,96.1,40,93.3,2227,0.049,0.08,3
FC,9/22/2022,92.1,-2.68,"Grossman, Robbie",popup,158,83.1,59,93.5,2241,0.037,0.047,3
SI,9/22/2022,100,1.41,"Olson, Matt",popup,104,80,75,100.5,2090,0.011,0.013,3
CH,9/21/2022,90.5,-2.03,"Rosario, Eddie",line_drive,164,95.3,10,91.6,1747,0.7,0.646,4
FF,9/21/2022,92.7,-1.98,"Harris II, Michael",line_drive,158,77.1,11,94.2,2558,0.369,0.332,4
FF,9/21/2022,94.2,-1.84,"Olson, Matt",popup,100,70.8,72,95.8,2617,0.006,0.007,3
CU,9/21/2022,79.7,-1.72,"Riley, Austin",ground_ball,16,100.8,-7,80.5,2160,0.286,0.276,2
FF,9/21/2022,95.3,-1.84,"Acuña Jr., Ronald",popup,118,91.7,71,96.6,2528,0.014,0.016,3
FF,9/21/2022,95.8,-1.89,"Grissom, Vaughn",line_drive,231,89.7,15,97.6,2614,0.94,0.911,4
SI,9/21/2022,97.1,-1.9,"Grossman, Robbie",ground_ball,39,99.8,-2,98.1,2222,0.351,0.326,2
