pitch_type,game_date,release_speed,release_pos_x,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,8/3/2022,94.9,-1.55,"Rosario, Eddie",fly_ball,331,89.8,27,97,2306,0.1,0.115,3
SL,8/3/2022,86.9,-2.73,"Ozuna, Marcell",popup,52,81.7,80,87.7,2603,0.017,0.02,3
SI,8/3/2022,99,-1.99,"Grossman, Robbie",fly_ball,368,97,27,99,2298,0.34,0.545,5
SI,8/3/2022,97.9,-2.22,"Arcia, Orlando",fly_ball,320,95.1,25,97.9,2256,0.197,0.259,5
FC,8/3/2022,93.8,1.58,"Olson, Matt",popup,108,94,70,94.9,2066,0.023,0.029,3
SL,8/2/2022,85.4,-0.5,"Ozuna, Marcell",ground_ball,40,74.7,2,86.9,2160,0.12,0.108,2
SL,8/2/2022,85.8,-0.69,"Contreras, William",ground_ball,9,92,-18,87.2,2092,0.114,0.103,2
FF,8/2/2022,95.8,-1.17,"Rosario, Eddie",ground_ball,26,96,-3,96.9,2097,0.3,0.277,2
FF,8/2/2022,95.9,-0.48,"Acuña Jr., Ronald",ground_ball,14,95.2,-8,96.8,2134,0.231,0.225,2
FF,8/2/2022,97,-1,"Harris II, Michael",ground_ball,8,89.8,-12,98.4,2087,0.146,0.144,2
FF,8/2/2022,95.7,-0.47,"Arcia, Orlando",line_drive,348,94.4,24,97.2,2014,0.163,0.196,3
FF,8/2/2022,97.4,-0.26,"Ozuna, Marcell",fly_ball,445,110.8,23,98.7,1998,0.983,1.957,6
SI,7/31/2022,90.8,-1.63,"Riley, Austin",ground_ball,1,66.8,-40,90.9,2278,0.123,0.114,2
FF,7/31/2022,93.1,-2.89,"Riley, Austin",line_drive,358,102.9,19,93.3,2228,0.466,0.583,5
FC,7/31/2022,92.9,-2.83,"Olson, Matt",line_drive,193,104.4,9,93.1,2400,0.754,0.722,4
FF,7/31/2022,92.8,-2.56,"Swanson, Dansby",ground_ball,16,92.9,-8,93.2,2305,0.197,0.179,2
FF,7/31/2022,93.2,-1.2,"Arcia, Orlando",popup,160,93.5,63,93.9,2453,0.006,0.005,3
FC,7/30/2022,87.8,0.88,"Harris II, Michael",popup,119,68.3,65,88.8,2283,0.006,0.005,3
FF,7/30/2022,89.8,-2.35,"Olson, Matt",line_drive,180,74.4,17,89.1,2215,0.774,0.709,4
CH,7/30/2022,83.1,1.04,"Arcia, Orlando",line_drive,316,88.4,23,83.9,1755,0.237,0.254,3
FF,7/30/2022,89.5,0.76,"Contreras, William",line_drive,254,103.8,11,90.3,2134,0.897,0.916,4
FC,7/30/2022,86.8,1.01,"Rosario, Eddie",line_drive,306,101.3,19,88.2,2069,0.38,0.436,5
FF,7/29/2022,96.3,-1.4,"Ozuna, Marcell",ground_ball,90,102.4,4,95.5,2309,0.574,0.543,4
FF,7/29/2022,96.1,-1.49,"Olson, Matt",ground_ball,12,106.8,-6,95.3,2395,0.414,0.404,2
FF,7/29/2022,95.8,-1.44,"d'Arnaud, Travis",ground_ball,3,75.4,-33,95.1,2327,0.057,0.051,2
FF,7/29/2022,93.2,0.12,"Swanson, Dansby",fly_ball,314,90.6,36,93,2226,0.037,0.054,3
FF,7/29/2022,92.5,0.11,"Acuña Jr., Ronald",ground_ball,29,108.4,-5,92,2199,0.429,0.405,2
SL,7/27/2022,86.3,-1.74,"Canó, Robinson",popup,168,64.2,54,86,2461,0.069,0.062,3
FF,7/27/2022,96.1,-1.71,"Ozuna, Marcell",line_drive,189,85.2,13,95.2,2617,0.766,0.701,4
SL,7/27/2022,79.8,2.22,"Riley, Austin",line_drive,311,84.9,26,78.7,2351,0.137,0.147,3
FC,7/27/2022,90.2,-2.83,"Ford, Mike",ground_ball,42,82.5,-1,90.9,2291,0.194,0.179,2
SL,7/27/2022,79.3,2.31,"Swanson, Dansby",ground_ball,15,92.7,-7,78.4,2291,0.214,0.203,2
SL,7/27/2022,86.2,-1.68,"Rosario, Eddie",fly_ball,308,85.2,34,86,2505,0.02,0.026,3
SL,7/27/2022,79.7,2.21,"Harris II, Michael",ground_ball,71,52,4,78.4,2403,0.123,0.111,1
CH,7/26/2022,88.2,-2.46,"Acuña Jr., Ronald",ground_ball,5,69.1,-23,87.8,2052,0.04,0.036,2
CH,7/26/2022,88.7,-2.45,"Harris II, Michael",line_drive,328,101.7,19,87.8,2056,0.451,0.575,5
SI,7/26/2022,96.2,-1.32,"Swanson, Dansby",ground_ball,44,100.4,-1,95.4,2221,0.386,0.357,2
KC,7/26/2022,80.3,-0.91,"d'Arnaud, Travis",ground_ball,4,98.9,-24,79.9,2840,0.114,0.103,2
FF,7/26/2022,96.2,-1.39,"Acuña Jr., Ronald",fly_ball,305,83,35,95,2332,0.026,0.039,3
FF,7/26/2022,97.4,-0.99,"Riley, Austin",ground_ball,129,77.6,9,97.4,2299,0.337,0.303,2
FF,7/26/2022,96.4,-2.4,"Rosario, Eddie",line_drive,211,80.7,16,95.4,2003,0.894,0.856,4
FC,7/25/2022,93.5,1.68,"Olson, Matt",ground_ball,6,78.8,-21,93.9,2229,0.029,0.026,2
FF,7/25/2022,93.3,-1.52,"Rosario, Eddie",fly_ball,289,96.9,51,92.5,2525,0.009,0.016,3
FF,7/25/2022,94,-1.6,"Ozuna, Marcell",line_drive,249,85.9,20,92.6,2473,0.551,0.534,4
SI,7/25/2022,97.7,-2.09,"Acuña Jr., Ronald",fly_ball,276,78.4,33,96.9,2284,0.111,0.1,3
SI,7/25/2022,98.7,1.49,"Harris II, Michael",ground_ball,14,96.9,-11,99.7,1958,0.203,0.183,2
FF,7/25/2022,93.7,-1.62,"Riley, Austin",popup,111,93,73,92.2,2442,0.009,0.008,3
SI,7/25/2022,98.4,-2.18,"Canó, Robinson",line_drive,177,107,6,98.1,2206,0.603,0.554,4
FC,7/24/2022,86.5,-1.73,"Acuña Jr., Ronald",line_drive,154,112.8,8,86.9,2564,0.8,0.797,5
FC,7/24/2022,86.2,-1.97,"Harris II, Michael",line_drive,213,97.5,13,86.6,2614,0.926,0.909,4
FC,7/24/2022,87.2,-1.91,"Rosario, Eddie",fly_ball,328,94.5,40,87.4,2607,0.034,0.052,3
FC,7/24/2022,87.9,-2.38,"Arcia, Orlando",popup,77,81.9,71,88.5,2398,0.006,0.005,3
FF,7/24/2022,91.7,-1.62,"Arcia, Orlando",line_drive,267,89.4,17,92.2,2339,0.814,0.774,4
SL,7/24/2022,85.5,-1.59,"Swanson, Dansby",fly_ball,211,73.2,48,85.7,2560,0.16,0.17,3
FC,7/24/2022,91.7,-2.31,"Ozuna, Marcell",fly_ball,236,86.3,51,93.6,2445,0.011,0.011,3
SI,7/24/2022,95.1,-2.5,"Acuña Jr., Ronald",line_drive,165,77.5,14,94.9,2342,0.571,0.514,4
FF,7/24/2022,94.1,-1.49,"Harris II, Michael",popup,118,71.1,71,94.1,2219,0,0,3
FF,7/24/2022,93.4,2.42,"Swanson, Dansby",ground_ball,9,101.1,-15,94,2211,0.2,0.18,2
CH,7/24/2022,88.8,-1.91,"Rosario, Eddie",fly_ball,323,94.8,42,88.7,1969,0.014,0.013,3
CH,7/23/2022,85.1,-1.78,"Harris II, Michael",ground_ball,10,79.4,-11,85,1686,0.109,0.109,2
SL,7/23/2022,83.8,-2.04,"Ozuna, Marcell",ground_ball,1,62.8,-69,83.4,2186,0.237,0.213,2
FF,7/23/2022,91,-1.77,"Heredia, Guillermo",popup,169,59.1,48,91.3,2168,0.134,0.121,1
SL,7/23/2022,85.4,-1.85,"d'Arnaud, Travis",fly_ball,246,86.7,51,85.6,2326,0.014,0.017,3
SL,7/23/2022,87,-1.91,"Riley, Austin",fly_ball,196,92,61,86.8,2126,0.003,0.003,3
FF,7/23/2022,93.2,-1.73,"Olson, Matt",line_drive,376,101.7,22,93.1,2279,0.571,0.8,6
SL,7/22/2022,83.9,-2.74,"Arcia, Orlando",fly_ball,402,100.2,33,84.2,2488,0.406,0.802,6
SL,7/22/2022,85.3,-2.69,"Ozuna, Marcell",fly_ball,314,86.8,38,86.5,2471,0.011,0.015,3
FS,7/22/2022,88.9,-2.24,"Rosario, Eddie",line_drive,144,76.9,12,89.9,1091,0.4,0.36,4
SL,7/22/2022,85.3,-2.61,"d'Arnaud, Travis",fly_ball,216,73.7,46,86.2,2476,0.16,0.171,3
SL,7/22/2022,85,-2.96,"Riley, Austin",line_drive,211,84.5,15,86,2492,0.937,0.898,4
FS,7/22/2022,87.4,-2.11,"Olson, Matt",fly_ball,355,101.5,42,87.6,1063,0.151,0.293,5
SL,7/22/2022,93.1,-2.65,"Arcia, Orlando",ground_ball,8,100.7,-13,94.5,2571,0.243,0.23,2
SI,7/22/2022,97.8,-2.49,"Ozuna, Marcell",fly_ball,410,107.9,35,98.6,1910,0.737,1.526,6
SI,7/22/2022,96,-2.5,"d'Arnaud, Travis",ground_ball,17,103.7,-7,97.2,1898,0.351,0.336,2
FC,7/22/2022,81.9,4.28,"Harris II, Michael",ground_ball,27,93.8,-4,81.9,2168,0.269,0.263,2
CU,7/17/2022,80.9,-1.92,"Olson, Matt",ground_ball,2,38,-57,81.8,1944,0.246,0.237,1
CU,7/17/2022,81.4,-1.95,"Acuña Jr., Ronald",fly_ball,243,95.6,54,82.8,2041,0.006,0.005,3
CH,7/17/2022,90.2,-2.15,"Harris II, Michael",ground_ball,24,106,-7,91.4,1401,0.363,0.332,2
FF,7/17/2022,95.5,-2.08,"Canó, Robinson",ground_ball,34,77.6,-2,97.2,2533,0.131,0.118,2
CH,7/17/2022,91.3,-1.91,"Contreras, William",ground_ball,10,90.2,-16,93.1,1601,0.114,0.103,2
SL,7/17/2022,87,-1.85,"Contreras, William",fly_ball,365,102.7,37,88.3,1895,0.463,0.928,6
SL,7/17/2022,86.7,-1.67,"Duvall, Adam",popup,13,86.2,81,87.9,1868,0.014,0.015,3
SI,7/17/2022,97.9,-1.84,"Harris II, Michael",fly_ball,358,92.5,28,99,2019,0.131,0.187,3
SI,7/17/2022,97.2,-1.72,"Canó, Robinson",popup,134,83,68,98,2012,0.006,0.005,3
CH,7/17/2022,88.1,-1.82,"Rosario, Eddie",fly_ball,333,93.2,37,89.4,1504,0.071,0.12,3
CU,7/16/2022,81.9,-2.02,"d'Arnaud, Travis",line_drive,195,74.5,15,80.9,2021,0.586,0.527,4
CU,7/16/2022,81.5,-2.05,"Riley, Austin",line_drive,269,87.5,22,81,1661,0.343,0.34,3
FF,7/16/2022,97,-1.66,"Riley, Austin",fly_ball,269,90.4,44,98,2079,0.009,0.012,3
FF,7/16/2022,98.8,-1.96,"Swanson, Dansby",fly_ball,386,103.5,26,98.2,2031,0.829,1.599,6
FF,7/16/2022,98.5,-1.86,"Canó, Robinson",line_drive,302,105,14,99.1,2071,0.714,0.752,5
FF,7/16/2022,96.3,-1.7,"Olson, Matt",popup,135,98.6,68,97.1,2154,0.029,0.04,3
SL,7/16/2022,87.6,-1.95,"Ozuna, Marcell",line_drive,317,86,25,88.1,2258,0.14,0.134,3
SL,7/16/2022,87.1,-1.9,"Swanson, Dansby",ground_ball,13,92.8,-9,88.4,1813,0.206,0.197,2
FF,7/16/2022,97.7,-1.87,"Duvall, Adam",popup,98,96.6,68,97.4,2075,0.026,0.034,3
FF,7/16/2022,95.5,-1.85,"Harris II, Michael",ground_ball,11,101.5,-12,96.7,2011,0.223,0.201,2
SI,7/15/2022,93.8,-2.27,"Contreras, William",ground_ball,59,115.2,0,94.1,2155,0.529,0.476,4
SI,7/15/2022,94.9,-2.31,"Duvall, Adam",line_drive,240,92.2,17,95.2,2087,0.703,0.712,4
SI,7/15/2022,93.6,-2.17,"Riley, Austin",ground_ball,15,72.6,-11,93.6,2203,0.063,0.057,2
SI,7/15/2022,97.8,-1.5,"Ozuna, Marcell",ground_ball,4,95.8,-29,98.6,2031,0.1,0.093,2
SI,7/15/2022,97.1,-1.67,"Duvall, Adam",fly_ball,456,109.7,31,98.2,1780,0.937,1.95,6
CH,7/15/2022,93.2,-1.75,"Swanson, Dansby",ground_ball,5,81.8,-24,94.7,1485,0.046,0.041,2
SI,7/15/2022,98.6,-1.7,"Riley, Austin",popup,133,63.6,59,99.1,2091,0.014,0.013,3
CH,7/15/2022,92.7,-2.12,"Harris II, Michael",ground_ball,91,77,7,94.2,1684,0.343,0.359,2
CH,7/14/2022,76.9,-1.89,"d'Arnaud, Travis",line_drive,309,88.3,23,76.2,1900,0.237,0.254,3
SI,7/14/2022,88.9,-1.97,"Rosario, Eddie",fly_ball,339,91.1,29,88.3,2105,0.097,0.137,3
SI,7/14/2022,88.3,-1.88,"Riley, Austin",fly_ball,252,75,32,88.2,2257,0.331,0.311,3
CH,7/14/2022,76.3,-1.8,"Olson, Matt",fly_ball,256,85.5,51,75.5,1952,0.017,0.021,3
FF,7/14/2022,98.8,-1.61,"Canó, Robinson",fly_ball,305,88.9,27,98.6,2102,0.111,0.144,3
SI,7/14/2022,89.2,-1.85,"Swanson, Dansby",ground_ball,15,72.5,-10,89.1,2100,0.074,0.07,2
FF,7/14/2022,98.6,-1.66,"Ozuna, Marcell",fly_ball,292,99.9,48,98.1,2123,0.011,0.011,3
FS,7/14/2022,81.6,-0.91,"Harris II, Michael",ground_ball,3,72.4,-39,81.3,385,0.109,0.1,2
SL,7/13/2022,88.1,-1.72,"Riley, Austin",fly_ball,419,103.6,31,88.2,2824,0.72,1.462,6
SL,7/13/2022,85.9,-1.9,"Swanson, Dansby",popup,197,81.5,57,86,2802,0.049,0.056,3
SI,7/13/2022,93.7,-1.29,"Canó, Robinson",ground_ball,65,104.3,2,93.7,2310,0.474,0.427,4
FF,7/13/2022,96.3,-2.01,"Canó, Robinson",line_drive,260,95.3,14,96,2495,0.914,0.901,4
FC,7/13/2022,91,-1.63,"Rosario, Eddie",fly_ball,424,104.5,33,91.6,2412,0.709,1.442,6
CU,7/12/2022,80.4,-0.87,"Acuña Jr., Ronald",line_drive,262,98.4,16,79.3,3247,0.646,0.677,4
CU,7/12/2022,80.6,-1.07,"Harris II, Michael",ground_ball,4,90,-28,78.9,3376,0.08,0.081,2
SL,7/12/2022,83.2,-1.94,"d'Arnaud, Travis",popup,56,64.6,77,82.8,2364,0.006,0.005,3
SI,7/12/2022,93.4,-0.97,"Arcia, Orlando",ground_ball,58,50,8,93,2251,0.137,0.123,1
SL,7/12/2022,88,-0.83,"Duvall, Adam",fly_ball,412,104.8,35,87.5,2403,0.649,1.322,6
SL,7/12/2022,86.1,-0.85,"d'Arnaud, Travis",line_drive,159,79.5,14,85.6,2412,0.617,0.555,4
SL,7/12/2022,84,-1.95,"Swanson, Dansby",fly_ball,296,94.9,48,83.8,2483,0,0,3
SL,7/11/2022,86.2,-3.31,"Ozuna, Marcell",line_drive,277,112.1,15,86,2176,0.731,0.857,6
CH,7/11/2022,84.2,-3.48,"Riley, Austin",fly_ball,417,111.6,22,85,1500,0.957,1.815,6
FF,7/11/2022,95.1,-3.41,"Swanson, Dansby",fly_ball,384,103.3,35,94.6,2323,0.554,1.124,6
SI,7/11/2022,96.3,-2.53,"Swanson, Dansby",ground_ball,3,87.1,-34,97.6,2246,0.074,0.069,2
SL,7/11/2022,81.6,-2.72,"Acuña Jr., Ronald",ground_ball,105,97.8,6,82.1,2663,0.6,0.568,4
FF,7/11/2022,93.8,-2.59,"Canó, Robinson",ground_ball,64,112,1,95.5,2297,0.52,0.468,4
FC,7/11/2022,85.2,-2.65,"Harris II, Michael",ground_ball,6,94.6,-23,86.1,2419,0.111,0.111,2
SI,7/10/2022,98,-1.76,"Rosario, Eddie",fly_ball,307,89.4,42,99.2,1893,0.006,0.005,3
FF,7/10/2022,98.1,-2.91,"Swanson, Dansby",fly_ball,326,98.3,41,98.3,2529,0.06,0.107,3
FF,7/10/2022,96.8,-1.94,"Olson, Matt",ground_ball,4,90,-33,98.7,2453,0.103,0.11,2
FF,7/10/2022,99.2,-2.69,"Acuña Jr., Ronald",popup,32,89.9,81,99.2,2348,0.014,0.016,3
SI,7/10/2022,97.4,-1.45,"Ozuna, Marcell",fly_ball,298,85.6,38,98.6,1991,0.011,0.015,3
FF,7/10/2022,96.1,-1.96,"Swanson, Dansby",popup,144,83.1,66,97.8,2458,0.006,0.006,3
SI,7/10/2022,98.1,-1.41,"Riley, Austin",fly_ball,410,106.6,25,98.7,2190,0.96,1.935,6
FF,7/10/2022,98.6,-2.72,"Harris II, Michael",line_drive,216,70.5,23,98.7,2413,0.934,0.88,4
SL,7/10/2022,87.4,-2.9,"d'Arnaud, Travis",ground_ball,5,69.1,-14,88.2,2335,0.051,0.046,2
SL,7/10/2022,89.1,-2.91,"Contreras, William",ground_ball,159,103.8,3,89.6,2354,0.517,0.471,4
FF,7/10/2022,97.2,-1.97,"Harris II, Michael",ground_ball,4,90.4,-24,98.8,2487,0.097,0.098,2
FF,7/10/2022,97.2,-2.82,"Rosario, Eddie",fly_ball,336,97.8,40,97.9,2342,0.08,0.146,3
FF,7/10/2022,98,-2.77,"Ozuna, Marcell",line_drive,288,110.7,15,98.8,2362,0.714,0.804,6
FF,7/10/2022,96.7,-1.81,"Riley, Austin",line_drive,221,96.9,14,97.7,1978,0.9,0.897,4
SI,7/9/2022,95.3,-1.41,"Riley, Austin",ground_ball,4,94.7,-23,96.3,2172,0.111,0.111,2
SI,7/9/2022,89.3,-3.24,"Swanson, Dansby",fly_ball,394,99.7,34,91.5,2271,0.377,0.749,5
SI,7/9/2022,89.8,-3.44,"Acuña Jr., Ronald",ground_ball,129,73.4,11,91.9,2428,0.28,0.252,2
SI,7/9/2022,94.8,-1.54,"Olson, Matt",fly_ball,232,96.2,59,95.7,2186,0.014,0.019,3
SI,7/8/2022,93.6,-2.08,"Harris II, Michael",fly_ball,435,112,25,93.8,2114,0.989,2.008,6
SI,7/8/2022,93.3,-2.17,"Arcia, Orlando",ground_ball,34,92.8,-3,93,2185,0.26,0.249,2
FC,7/8/2022,89,-2.33,"Contreras, William",ground_ball,70,89.7,4,89.3,2367,0.411,0.405,4
CU,7/8/2022,80.8,-2.35,"Rosario, Eddie",popup,51,71.3,79,80.8,2560,0.006,0.005,3
SI,7/8/2022,93.8,-2.2,"Ozuna, Marcell",ground_ball,12,95.1,-10,93.6,2209,0.209,0.206,2
CU,7/8/2022,46.6,-1.18,"Rosario, Eddie",ground_ball,8,80.1,-22,45.2,1407,0.029,0.026,2
EP,7/8/2022,64.8,-1.27,"Ozuna, Marcell",line_drive,252,95.1,17,63.5,1318,0.56,0.568,4
EP,7/8/2022,45.7,-0.38,"Riley, Austin",line_drive,295,100.3,22,44.3,1130,0.374,0.482,5
EP,7/8/2022,49.2,-0.17,"Swanson, Dansby",ground_ball,33,80.4,-6,47.8,1207,0.111,0.1,2
FF,7/7/2022,100.2,-0.43,"Ozuna, Marcell",ground_ball,27,97.1,-5,100.9,2585,0.274,0.25,2
FF,7/7/2022,99.9,-0.46,"Riley, Austin",line_drive,206,73.7,19,100.6,2543,0.903,0.843,4
FF,7/7/2022,99.7,-0.66,"Olson, Matt",ground_ball,27,106.3,-3,100.1,2642,0.403,0.363,4
SL,7/7/2022,89.1,-0.78,"Swanson, Dansby",ground_ball,77,91,4,89.7,2413,0.377,0.339,4
SL,7/7/2022,90.6,-0.76,"Harris II, Michael",line_drive,377,110.2,19,91.5,2483,0.843,1.315,6
SL,7/7/2022,89.9,-2.06,"d'Arnaud, Travis",ground_ball,16,102.6,-6,89.6,2070,0.323,0.301,2
SL,7/7/2022,86.3,-1.78,"Acuña Jr., Ronald",ground_ball,9,77.5,-15,85.8,2372,0.066,0.059,2
SL,7/7/2022,80.1,2.47,"Harris II, Michael",ground_ball,20,93.3,-3,79.4,2452,0.26,0.249,2
CH,7/7/2022,85,2.53,"Gosselin, Phil",fly_ball,319,84.6,30,84.3,1391,0.069,0.092,3
SL,7/7/2022,89.4,-1.9,"Riley, Austin",ground_ball,13,99.6,-8,89.9,2069,0.28,0.267,2
FF,7/7/2022,93.7,-1.65,"Harris II, Michael",fly_ball,439,107.4,27,92.7,2429,0.957,1.954,6
CH,7/7/2022,82.6,2.53,"Contreras, William",ground_ball,6,81.3,-9,81.8,1381,0.111,0.103,2
SL,7/6/2022,85.2,-1.86,"Olson, Matt",ground_ball,13,74,-5,84.6,2381,0.094,0.087,2
CU,7/6/2022,78.1,1.11,"Harris II, Michael",ground_ball,7,106.9,-19,78.2,2886,0.18,0.162,2
FF,7/6/2022,94.4,-1.44,"Swanson, Dansby",fly_ball,283,91.2,49,93.3,2434,0.011,0.015,3
CU,7/6/2022,74.9,1.2,"Arcia, Orlando",fly_ball,280,85.3,40,74.9,2840,0.02,0.027,3
FF,7/6/2022,93.9,-1.75,"Acuña Jr., Ronald",fly_ball,384,105.8,37,92.6,2465,0.586,1.186,6
CU,7/6/2022,74.4,1.16,"Duvall, Adam",fly_ball,391,98.5,30,74.4,2535,0.403,0.718,6
SI,7/5/2022,99,-1.47,"Gosselin, Phil",ground_ball,27,78.3,-3,99.2,2052,0.126,0.114,2
SI,7/5/2022,98.8,-1.39,"Rosario, Eddie",ground_ball,96,97.2,5,99.3,2014,0.537,0.515,4
FF,7/5/2022,96.9,1.14,"Swanson, Dansby",line_drive,341,96.3,23,97.2,2057,0.186,0.218,5
CH,7/5/2022,89.2,1.48,"Acuña Jr., Ronald",ground_ball,5,80.7,-21,90.2,1475,0.034,0.031,2
SI,7/5/2022,97.6,-1.76,"Riley, Austin",popup,74,78.5,75,97.7,2071,0.011,0.014,3
CU,7/4/2022,80.6,-1.94,"Rosario, Eddie",popup,178,74.1,52,81.1,2566,0.12,0.135,3
SI,7/4/2022,90.7,-1.9,"Ozuna, Marcell",line_drive,360,101.2,22,91.4,1611,0.483,0.658,5
CU,7/4/2022,83.9,-1.91,"Riley, Austin",fly_ball,283,90.8,48,84.6,2756,0.006,0.005,3
SI,7/4/2022,92.1,-1.97,"Swanson, Dansby",fly_ball,371,99.9,37,92.5,1631,0.269,0.548,5
FF,7/3/2022,98.9,-2.67,"Acuña Jr., Ronald",fly_ball,305,83.4,30,97.9,2477,0.066,0.075,3
SL,7/3/2022,87.5,-2.87,"Harris II, Michael",ground_ball,16,101.8,-7,86.7,2531,0.251,0.226,2
SL,7/3/2022,84.9,-3.04,"Acuña Jr., Ronald",popup,60,91.7,76,84.3,2721,0.009,0.008,3
SL,7/3/2022,85.4,-3.38,"Harris II, Michael",fly_ball,425,108.8,26,84.7,2877,0.98,2.014,6
SL,7/3/2022,79.7,-2.5,"d'Arnaud, Travis",fly_ball,289,81.5,37,80,2776,0.02,0.018,3
FF,7/3/2022,94,-3.09,"Ford, Mike",line_drive,127,105.1,6,93.6,2409,0.58,0.54,4
SL,7/3/2022,81,-2.51,"Riley, Austin",fly_ball,356,98.8,37,81.5,2626,0.217,0.428,5
CH,7/3/2022,87.7,-2.5,"Olson, Matt",ground_ball,91,107.7,4,88.6,1628,0.603,0.572,4
FF,7/3/2022,95,-3.11,"Ozuna, Marcell",fly_ball,403,112.5,22,94.1,2382,0.946,1.774,6
SL,7/2/2022,87.6,-2.26,"Swanson, Dansby",line_drive,219,102.5,11,87.7,2449,0.903,0.883,4
CH,7/2/2022,87,-1.09,"Harris II, Michael",ground_ball,44,65.5,3,87.6,1838,0.183,0.198,2
FF,7/2/2022,91.5,-2.14,"Harris II, Michael",ground_ball,13,103.4,-14,91.9,2143,0.246,0.233,2
FF,7/2/2022,93.2,1.55,"Riley, Austin",fly_ball,334,97,40,91.8,2277,0.063,0.112,3
FF,7/2/2022,93.8,2.92,"Ozuna, Marcell",fly_ball,358,99.5,40,93.6,2165,0.131,0.242,3
SI,7/2/2022,96.6,-1.12,"Heredia, Guillermo",fly_ball,354,92.3,27,96.3,2262,0.129,0.165,3
CH,7/2/2022,86.3,3.15,"Riley, Austin",line_drive,194,102.7,10,86.2,2071,0.837,0.822,4
SI,7/2/2022,92.3,1.91,"Swanson, Dansby",ground_ball,63,96.8,2,91.2,2066,0.454,0.428,4
FF,7/2/2022,91.6,1.67,"Acuña Jr., Ronald",fly_ball,378,108.3,44,90.4,2366,0.263,0.533,6
SL,7/2/2022,82.3,3.28,"Olson, Matt",ground_ball,2,82.8,-42,83,2343,0.091,0.087,2
CH,7/1/2022,86.4,-1.29,"Harris II, Michael",ground_ball,94,111.2,3,86,1651,0.611,0.574,4
SI,7/1/2022,93.9,-0.87,"Arcia, Orlando",ground_ball,2,58,-45,93.6,2258,0.16,0.144,1
CH,7/1/2022,86.8,-2.28,"Heredia, Guillermo",fly_ball,331,88.1,32,87.6,1442,0.029,0.029,3
SL,7/1/2022,83,-1.14,"Duvall, Adam",line_drive,299,109.2,16,82.9,2558,0.694,0.832,6
SL,7/1/2022,86.2,-3.23,"Swanson, Dansby",fly_ball,395,103.4,40,87.5,2207,0.297,0.586,5
CH,7/1/2022,87.4,-1.12,"Ozuna, Marcell",fly_ball,226,96,57,86.8,1659,0.014,0.02,3
SI,7/1/2022,96.1,-2.78,"Acuña Jr., Ronald",line_drive,202,71.6,23,97.8,2182,0.931,0.869,4
FF,7/1/2022,93.5,-2.2,"Riley, Austin",line_drive,286,106.4,12,93.8,2375,0.874,0.898,4
FF,7/1/2022,93.7,-2.25,"Olson, Matt",ground_ball,40,108.7,-1,94.1,2372,0.477,0.429,4
FF,7/1/2022,93.4,-2.21,"Swanson, Dansby",line_drive,220,106.7,12,93.9,2359,0.903,0.949,5
SI,7/1/2022,95.5,-2.75,"Duvall, Adam",ground_ball,10,92.7,-12,97.4,2121,0.151,0.14,2
SI,6/30/2022,92.8,-1.92,"d'Arnaud, Travis",ground_ball,98,81.5,7,93.2,2225,0.38,0.361,4
FF,6/30/2022,93.6,-1.88,"Harris II, Michael",ground_ball,7,91,-25,93.9,2280,0.086,0.079,2
FC,6/30/2022,85.9,-1.87,"Duvall, Adam",fly_ball,380,101.2,28,86.8,2165,0.649,1.238,6
SI,6/30/2022,95.4,-1.49,"Contreras, William",fly_ball,359,97.4,26,94.6,2293,0.331,0.483,5
FF,6/30/2022,96.5,-1.52,"Ozuna, Marcell",ground_ball,10,96.1,-13,95.8,2355,0.174,0.157,2
FF,6/30/2022,95.5,-1.52,"Riley, Austin",line_drive,263,93.1,18,94.8,2340,0.503,0.502,4
SI,6/30/2022,95.9,-0.97,"Gosselin, Phil",ground_ball,8,89.9,-14,97.1,1855,0.123,0.111,2
FS,6/30/2022,93.6,-1.4,"Olson, Matt",fly_ball,333,94.4,35,93.2,1741,0.091,0.174,3
SI,6/30/2022,96.2,-0.93,"Harris II, Michael",line_drive,163,89.7,9,97.2,1755,0.554,0.502,4
SI,6/30/2022,95.3,-0.9,"Arcia, Orlando",fly_ball,334,91.8,29,96,1968,0.094,0.125,3
FF,6/29/2022,92.6,2.31,"Gosselin, Phil",ground_ball,119,95.5,5,92.1,1848,0.477,0.461,4
FF,6/29/2022,94.3,2.09,"Duvall, Adam",fly_ball,402,109,27,94.1,1915,0.983,2.026,6
SI,6/29/2022,92,2.15,"Ozuna, Marcell",ground_ball,1,60.7,-62,91.9,1843,0.269,0.258,2
SI,6/29/2022,94.2,-1.44,"Riley, Austin",fly_ball,345,100.5,45,93.7,2256,0.026,0.033,3
SI,6/29/2022,94.6,-1.21,"Gosselin, Phil",ground_ball,4,100.7,-25,95.8,1925,0.134,0.124,2
SI,6/29/2022,95.7,-1.57,"Olson, Matt",ground_ball,4,93.7,-25,94.8,2203,0.091,0.086,2
SI,6/29/2022,95.8,-1.6,"d'Arnaud, Travis",ground_ball,2,81.5,-42,95.1,2236,0.097,0.09,2
SI,6/29/2022,99.6,1.06,"Harris II, Michael",line_drive,241,83.4,18,99.9,2050,0.897,0.864,4
