pitch_type,game_date,release_speed,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,9/13/2022,95.1,"Swanson, Dansby",ground_ball,10,98.3,-12,96.9,2182,0.214,0.199,2
FF,9/13/2022,95,"Harris II, Michael",ground_ball,22,110.8,-6,94.3,2090,0.42,0.388,2
FF,9/13/2022,95.7,"Acuña Jr., Ronald",line_drive,308,104.7,16,97.2,2085,0.571,0.654,5
FS,9/12/2022,88.9,"Grissom, Vaughn",ground_ball,13,60.4,-10,88.6,1437,0.091,0.094,2
FS,9/12/2022,89.7,"Harris II, Michael",ground_ball,50,109.3,0,88.9,1483,0.503,0.463,4
FS,9/12/2022,88.2,"d'Arnaud, Travis",fly_ball,241,88.4,50,87.5,1355,0.014,0.017,3
SL,9/12/2022,89,"Riley, Austin",ground_ball,4,71.6,-20,89.5,2169,0.046,0.041,2
SL,9/12/2022,89.6,"Swanson, Dansby",line_drive,208,105.7,12,90.6,2204,0.874,0.898,4
SI,9/12/2022,91.9,"Contreras, William",ground_ball,10,77.3,-7,92.5,2151,0.089,0.08,2
SL,9/12/2022,89.8,"Acuña Jr., Ronald",ground_ball,120,92,8,90.4,2063,0.571,0.538,4
SI,9/12/2022,92.4,"Grissom, Vaughn",ground_ball,4,66.5,-28,92.5,2216,0.04,0.036,2
SI,9/12/2022,91.5,"Harris II, Michael",ground_ball,8,63.9,-19,91.9,2232,0.04,0.036,2
SI,9/12/2022,92.1,"Olson, Matt",fly_ball,232,84.2,52,92.3,2021,0.023,0.028,3
SL,9/11/2022,88.6,"Harris II, Michael",fly_ball,433,109.5,27,88.3,2264,0.991,2.047,6
SL,9/11/2022,84.4,"Swanson, Dansby",ground_ball,7,73.7,-17,84.7,2489,0.057,0.055,2
SL,9/11/2022,88.4,"Contreras, William",ground_ball,2,62.7,-45,88.3,2316,0.174,0.159,2
FF,9/11/2022,94.7,"Grossman, Robbie",fly_ball,350,97.1,26,95.3,2340,0.331,0.483,5
SL,9/11/2022,83.9,"Grossman, Robbie",fly_ball,387,102.7,30,83.8,2526,0.697,1.399,6
SL,9/11/2022,89.6,"Swanson, Dansby",ground_ball,4,64,-28,89.9,2239,0.043,0.039,2
FF,9/11/2022,100.1,"Acuña Jr., Ronald",fly_ball,327,94.6,26,99.7,2220,0.191,0.246,5
SL,9/10/2022,85.2,"Riley, Austin",ground_ball,14,98.9,-6,85.8,2229,0.26,0.234,2
SL,9/10/2022,89.9,"d'Arnaud, Travis",ground_ball,,,,90.1,2207,,,
SL,9/10/2022,88.6,"Olson, Matt",ground_ball,4,84.2,-24,89.3,2050,0.077,0.085,2
FF,9/9/2022,91.3,"Acuña Jr., Ronald",fly_ball,212,78.3,58,90.7,2420,0.051,0.053,3
CH,9/7/2022,89.2,"Olson, Matt",ground_ball,4,101.5,-15,90.2,1738,0.2,0.18,2
CH,9/7/2022,85.7,"Acuña Jr., Ronald",ground_ball,18,100.1,-4,86.1,1820,0.326,0.309,2
SL,9/7/2022,85.6,"Heredia, Guillermo",popup,108,92.5,70,85.9,2552,0.017,0.019,3
CH,9/7/2022,86.6,"Harris II, Michael",ground_ball,30,112.8,-3,86.8,1704,0.471,0.424,4
SL,9/7/2022,86.3,"Olson, Matt",fly_ball,314,101.9,45,86.6,2689,0.063,0.108,3
SI,9/7/2022,94.2,"Grossman, Robbie",line_drive,332,97,21,93.8,2445,0.254,0.311,4
SL,9/7/2022,83.3,"Ozuna, Marcell",line_drive,168,100.4,9,83.8,2858,0.703,0.647,4
SL,9/7/2022,85.7,"Acuña Jr., Ronald",ground_ball,52,103.8,0,85.6,2658,0.457,0.426,4
SI,9/7/2022,93.3,"Harris II, Michael",ground_ball,7,97.7,-25,92.6,2364,0.094,0.085,2
SL,9/6/2022,83,"Ozuna, Marcell",popup,212,64.3,38,80.4,3262,0.554,0.499,4
SI,9/6/2022,93.4,"Grissom, Vaughn",ground_ball,60,72.1,4,90.7,2486,0.169,0.161,2
SL,9/6/2022,82,"Harris II, Michael",ground_ball,0,49.9,-78,82.3,2694,0.16,0.144,1
SI,9/6/2022,93.6,"Grissom, Vaughn",line_drive,235,95.9,14,92.4,2382,0.923,0.931,4
SI,9/6/2022,93.3,"Contreras, William",line_drive,364,98.1,19,92.2,2329,0.34,0.394,4
SL,9/6/2022,81.3,"Olson, Matt",fly_ball,326,94.9,41,81.8,2671,0.023,0.029,3
FF,9/4/2022,94.5,"Heredia, Guillermo",popup,131,59.8,63,95.7,2257,0,0,3
FF,9/4/2022,94.4,"Harris II, Michael",ground_ball,17,100.6,-9,95.4,2310,0.263,0.237,2
SL,9/4/2022,83.9,"Riley, Austin",ground_ball,50,74.6,2,84.2,2247,0.12,0.108,2
FF,9/4/2022,90.7,"Acuña Jr., Ronald",line_drive,266,87,20,92,2086,0.511,0.496,4
SL,9/3/2022,85.7,"d'Arnaud, Travis",line_drive,118,68.8,11,86.3,2581,0.286,0.257,2
FF,9/3/2022,94.5,"Harris II, Michael",ground_ball,70,107.4,1,94.8,2242,0.471,0.424,4
SI,9/3/2022,90.5,"Grossman, Robbie",ground_ball,48,83.2,2,91.1,2114,0.229,0.206,2
FC,9/3/2022,87.5,"Ozuna, Marcell",ground_ball,122,88.4,7,88.7,1985,0.469,0.444,4
SI,8/30/2022,97.3,"Olson, Matt",ground_ball,4,109.2,-22,96.7,2370,0.174,0.157,2
SL,8/30/2022,83.5,"Riley, Austin",ground_ball,6,80.9,-21,83.4,2927,0.034,0.031,2
SI,8/28/2022,89.5,"Grossman, Robbie",ground_ball,67,76.7,4,90.2,2324,0.231,0.216,2
CU,8/28/2022,74.3,"Harris II, Michael",line_drive,236,99.7,14,74,2798,0.789,0.78,4
FC,8/28/2022,83.6,"Grissom, Vaughn",ground_ball,3,56,-23,84.1,2488,0.08,0.084,1
SL,8/28/2022,85.1,"Grossman, Robbie",line_drive,292,91,19,84.9,2500,0.46,0.456,4
FF,8/28/2022,100.1,"Swanson, Dansby",fly_ball,418,105.3,27,101.1,2663,0.889,1.783,6
SI,8/27/2022,101,"Grissom, Vaughn",ground_ball,37,72.8,0,101.9,1947,0.106,0.095,2
SI,8/27/2022,97.6,"d'Arnaud, Travis",line_drive,271,78.8,25,98.6,1859,0.483,0.451,4
CH,8/26/2022,90,"Grissom, Vaughn",fly_ball,203,83.4,51,90.9,2226,0.031,0.043,3
FF,8/26/2022,95.8,"Harris II, Michael",line_drive,259,111.9,10,95,2377,0.854,0.875,5
CU,8/26/2022,81.7,"Grissom, Vaughn",fly_ball,225,84.4,50,81.6,2482,0.02,0.027,3
FF,8/26/2022,95.1,"Contreras, William",ground_ball,21,91.1,-5,94.5,2374,0.166,0.149,2
CU,8/26/2022,80.9,"Olson, Matt",ground_ball,119,105.6,6,80.3,2413,0.609,0.587,4
EP,8/26/2022,65.3,"Swanson, Dansby",line_drive,337,100.1,21,64.1,1760,0.377,0.492,5
SI,8/26/2022,95.4,"Swanson, Dansby",ground_ball,7,64.9,-13,95.4,2270,0.057,0.052,2
CU,8/26/2022,80.5,"Acuña Jr., Ronald",ground_ball,6,82,-11,80.7,2330,0.114,0.105,2
FA,8/26/2022,70.9,"Acuña Jr., Ronald",line_drive,253,86.6,19,69,1900,0.674,0.651,4
SI,8/26/2022,95.9,"Grossman, Robbie",line_drive,157,78.7,16,95.7,2309,0.843,0.802,4
SL,8/26/2022,77.4,"Grossman, Robbie",ground_ball,4,84.3,-32,75.3,2095,0.054,0.05,2
SL,8/24/2022,76.6,"Heredia, Guillermo",popup,59,70,80,76,2671,0.006,0.005,3
CH,8/24/2022,86.8,"Grossman, Robbie",ground_ball,85,92.9,5,87,1422,0.437,0.404,4
FF,8/24/2022,93.1,"Grissom, Vaughn",ground_ball,85,94,4,92.2,2352,0.426,0.4,4
SI,8/24/2022,97.8,"Swanson, Dansby",line_drive,280,106.7,17,97.5,2280,0.591,0.706,6
SL,8/24/2022,83.1,"Acuña Jr., Ronald",ground_ball,103,83,9,83.3,2505,0.446,0.408,4
SI,8/24/2022,94.9,"Grossman, Robbie",line_drive,134,76.8,13,94.7,2122,0.471,0.424,4
SL,8/24/2022,78.1,"Olson, Matt",fly_ball,420,112.7,35,77.9,2761,0.84,1.749,6
SL,8/23/2022,85.6,"Swanson, Dansby",fly_ball,224,65.2,34,85.2,2606,0.737,0.689,4
SI,8/23/2022,91,"Acuña Jr., Ronald",ground_ball,2,92.4,-32,89.9,2288,0.1,0.097,2
SI,8/23/2022,92.3,"Grossman, Robbie",fly_ball,355,95.4,32,91.4,2312,0.134,0.233,3
FF,8/23/2022,92.5,"Olson, Matt",popup,111,94.5,73,91.9,2454,0.014,0.014,3
CU,8/23/2022,77.7,"Riley, Austin",ground_ball,16,95.3,-7,76.8,2581,0.226,0.206,2
FF,8/22/2022,94.7,"Grossman, Robbie",popup,205,94.1,63,94.4,2395,0.006,0.005,3
FF,8/21/2022,95.6,"Rosario, Eddie",ground_ball,10,62.3,-18,94.8,2341,0.043,0.039,2
CU,8/21/2022,78.3,"Harris II, Michael",ground_ball,6,93.6,-23,77.6,2577,0.089,0.08,2
SL,8/21/2022,92.7,"Grissom, Vaughn",ground_ball,6,65.3,-19,93.4,2675,0.046,0.042,2
SL,8/21/2022,91.5,"d'Arnaud, Travis",fly_ball,348,97.2,28,91.7,2721,0.314,0.511,5
SI,8/20/2022,96.6,"Riley, Austin",ground_ball,26,74.2,-2,96.6,2090,0.094,0.085,2
SL,8/20/2022,88.5,"Swanson, Dansby",popup,216,78.8,55,88.6,2395,0.066,0.076,3
SL,8/20/2022,86.8,"Swanson, Dansby",fly_ball,345,93.3,40,86.6,1922,0.023,0.023,3
SL,8/20/2022,87,"Harris II, Michael",ground_ball,64,101.3,2,87.1,3000,0.486,0.45,4
FF,8/20/2022,99,"d'Arnaud, Travis",ground_ball,5,95.3,-19,98.2,2346,0.134,0.126,2
FS,8/20/2022,85,"Grossman, Robbie",ground_ball,139,83.8,11,84.7,964,0.549,0.503,4
SL,8/20/2022,85.3,"Olson, Matt",ground_ball,29,70.3,0,85.4,2528,0.126,0.12,2
FS,8/20/2022,83.7,"Harris II, Michael",line_drive,364,112.8,17,83.5,986,0.774,1.075,6
SI,8/20/2022,94.2,"Grissom, Vaughn",ground_ball,14,73,-11,94.5,2104,0.063,0.057,2
FS,8/19/2022,84.3,"Olson, Matt",line_drive,161,106,9,84.6,935,0.78,0.784,4
SL,8/19/2022,82.4,"Harris II, Michael",ground_ball,1,50.9,-73,83.1,2280,0.197,0.177,1
FF,8/19/2022,91.5,"Grissom, Vaughn",fly_ball,366,101,41,91.9,2272,0.14,0.255,3
CU,8/18/2022,82,"Grossman, Robbie",ground_ball,74,94.4,4,80.6,3383,0.426,0.4,4
FF,8/18/2022,94.6,"Harris II, Michael",ground_ball,12,90.3,-12,94,2285,0.146,0.144,2
SL,8/17/2022,83.5,"Contreras, William",ground_ball,2,71.5,-49,83.5,2287,0.166,0.149,2
SL,8/17/2022,83,"Acuña Jr., Ronald",fly_ball,366,100.2,24,84.5,2648,0.497,0.745,6
CH,8/17/2022,87.3,"Grissom, Vaughn",line_drive,229,86.1,19,88.9,1611,0.703,0.68,4
FF,8/17/2022,95.9,"Harris II, Michael",fly_ball,387,102.1,29,97.1,2374,0.631,1.208,6
SI,8/17/2022,94.5,"Grossman, Robbie",fly_ball,366,100.5,38,95.3,2187,0.297,0.618,5
SI,8/17/2022,95.3,"Grissom, Vaughn",ground_ball,11,76.6,-9,96.4,2236,0.089,0.084,2
SL,8/16/2022,79.7,"Swanson, Dansby",line_drive,267,87.6,19,79.7,2401,0.663,0.656,4
CU,8/16/2022,78.9,"Olson, Matt",line_drive,177,101.4,8,78.2,3179,0.686,0.633,4
SL,8/16/2022,87.2,"Riley, Austin",ground_ball,14,59.4,-6,87.2,2445,0.106,0.102,1
EP,8/15/2022,64.3,"d'Arnaud, Travis",popup,198,90.1,62,63.5,1567,0.003,0.003,3
SL,8/14/2022,90.1,"Rosario, Eddie",ground_ball,6,91,-16,90.4,2681,0.143,0.141,2
SL,8/14/2022,90.1,"Contreras, William",ground_ball,68,81.9,4,90.4,2651,0.269,0.242,2
SL,8/14/2022,84.4,"Riley, Austin",line_drive,177,111.3,7,83.8,1939,0.763,0.749,4
SL,8/14/2022,80.5,"Rosario, Eddie",ground_ball,7,63.4,-13,80.5,2378,0.057,0.051,2
FF,8/14/2022,97.1,"Riley, Austin",fly_ball,258,74.9,38,97.1,2588,0.174,0.157,3
SL,8/13/2022,82.4,"Contreras, William",ground_ball,7,67.9,-23,81.5,2789,0.037,0.033,2
SL,8/13/2022,81.2,"Harris II, Michael",ground_ball,45,101,-1,81.6,2307,0.4,0.376,4
CH,8/13/2022,83.8,"Acuña Jr., Ronald",ground_ball,5,87.8,-19,84.2,1555,0.1,0.091,2
FC,8/13/2022,87.2,"Olson, Matt",fly_ball,253,73.4,34,84.8,2369,0.417,0.392,3
FC,8/13/2022,88.5,"Tromp, Chadwick",line_drive,279,96.7,20,88.9,2041,0.277,0.317,4
SI,8/13/2022,90,"Harris II, Michael",ground_ball,10,106,-15,90,2007,0.234,0.214,2
FC,8/13/2022,88.8,"Swanson, Dansby",fly_ball,335,94.9,36,87,2272,0.114,0.22,3
CH,8/13/2022,82.9,"Grissom, Vaughn",ground_ball,1,58.1,-65,83.1,1618,0.246,0.223,1
FF,8/13/2022,96.8,"Acuña Jr., Ronald",line_drive,219,96,13,95.5,2275,0.92,0.892,4
CH,8/12/2022,89.8,"Ozuna, Marcell",ground_ball,101,81.4,6,88.4,1783,0.306,0.275,2
SI,8/12/2022,89.8,"Ozuna, Marcell",ground_ball,4,107.8,-19,90.1,2043,0.186,0.167,2
FF,8/12/2022,93.5,"Harris II, Michael",line_drive,364,111.2,21,93.7,2270,0.931,1.674,6
FF,8/10/2022,95.8,"Riley, Austin",ground_ball,6,100.9,-19,95.1,2117,0.174,0.165,2
FF,8/10/2022,95.6,"Ozuna, Marcell",fly_ball,341,89.8,29,96.3,2137,0.083,0.111,3
FF,8/10/2022,95.6,"Swanson, Dansby",line_drive,146,102.7,5,95.7,2188,0.557,0.504,4
SI,8/10/2022,95.2,"Rosario, Eddie",fly_ball,361,102.1,25,95.6,2251,0.649,1.08,6
SL,8/10/2022,83.1,"Contreras, William",ground_ball,1,50.2,-66,84.2,2520,0.226,0.206,1
FF,8/10/2022,94.3,"Grissom, Vaughn",fly_ball,412,101.7,32,95.5,2331,0.549,1.073,6
FF,8/9/2022,95.2,"Contreras, William",ground_ball,28,97.5,-4,94.3,2001,0.317,0.308,2
SL,8/9/2022,85.7,"Riley, Austin",ground_ball,124,109,5,84.5,2443,0.649,0.611,4
SL,8/9/2022,85.6,"Swanson, Dansby",ground_ball,69,74.5,5,85,2434,0.223,0.201,2
SI,8/9/2022,95.8,"Riley, Austin",popup,164,87.3,65,97.3,2145,0.006,0.006,3
FF,8/9/2022,94.3,"Acuña Jr., Ronald",ground_ball,114,99,6,93.4,2199,0.62,0.579,4
SI,8/9/2022,95.7,"Swanson, Dansby",ground_ball,113,106.8,5,97.3,2369,0.58,0.532,4
SL,8/9/2022,86.6,"Arcia, Orlando",line_drive,292,102.2,16,86.6,2377,0.529,0.566,4
FF,8/9/2022,96.3,"Ozuna, Marcell",line_drive,284,113.6,14,95.5,2196,0.771,0.905,6
SL,8/9/2022,80.1,"Rosario, Eddie",line_drive,298,95.5,20,79.6,2326,0.263,0.3,4
CH,8/7/2022,86.7,"Acuña Jr., Ronald",fly_ball,376,100.1,28,87.2,1065,0.571,1.053,6
FF,8/6/2022,94.7,"Acuña Jr., Ronald",ground_ball,94,79.3,7,94.4,2374,0.349,0.34,2
SL,8/6/2022,81.1,"Harris II, Michael",ground_ball,113,70.9,12,82,2761,0.323,0.291,2
SL,8/6/2022,84.7,"Olson, Matt",ground_ball,6,77.2,-14,85.5,2545,0.06,0.054,2
FF,8/6/2022,96.5,"Grossman, Robbie",line_drive,307,102.8,16,98,2172,0.531,0.564,5
SI,8/6/2022,93.8,"Arcia, Orlando",line_drive,287,85.2,27,94.3,2306,0.106,0.114,3
SL,8/6/2022,87.3,"d'Arnaud, Travis",ground_ball,13,99.3,-8,88.3,2497,0.286,0.283,2
SL,8/6/2022,84.7,"Swanson, Dansby",ground_ball,6,90.2,-20,85.2,2400,0.103,0.096,2
FF,8/6/2022,97,"Olson, Matt",ground_ball,89,100.4,2,97.8,2166,0.443,0.399,4
SL,8/6/2022,83.6,"Acuña Jr., Ronald",line_drive,268,97.7,14,83.7,2576,0.869,0.854,4
SI,8/6/2022,94.7,"d'Arnaud, Travis",ground_ball,15,79,-9,95.7,2205,0.103,0.1,2
SL,8/6/2022,81,"Olson, Matt",line_drive,206,84.6,18,81.5,2715,0.849,0.816,4
FF,8/6/2022,99.2,"Contreras, William",ground_ball,12,93.8,-14,100.9,2430,0.166,0.149,2
SI,8/5/2022,93,"Riley, Austin",fly_ball,345,91.8,27,93.4,2333,0.129,0.165,3
SI,8/5/2022,90.6,"Swanson, Dansby",fly_ball,336,94.1,41,90.9,2295,0.006,0.005,3
FF,8/5/2022,92.3,"Harris II, Michael",ground_ball,111,84.2,6,92.6,2397,0.389,0.364,4
SL,8/5/2022,82.5,"Arcia, Orlando",fly_ball,332,88,29,82.6,2552,0.071,0.089,3
FF,8/4/2022,99,"Arcia, Orlando",ground_ball,,,,100.4,2225,,,
SL,8/4/2022,92.1,"d'Arnaud, Travis",fly_ball,254,77,30,94.4,2337,0.269,0.249,3
SI,8/4/2022,95.2,"Harris II, Michael",ground_ball,69,94.3,3,95.9,2106,0.411,0.387,4
FC,8/3/2022,93.8,"Olson, Matt",popup,108,94,70,94.9,2066,0.023,0.029,3
SL,8/2/2022,85.8,"Contreras, William",ground_ball,9,92,-18,87.2,2092,0.114,0.103,2
FF,8/2/2022,95.8,"Rosario, Eddie",ground_ball,26,96,-3,96.9,2097,0.3,0.277,2
FF,7/31/2022,93.1,"Riley, Austin",line_drive,358,102.9,19,93.3,2228,0.466,0.583,5
FC,7/30/2022,87.8,"Harris II, Michael",popup,119,68.3,65,88.8,2283,0.006,0.005,3
CH,7/30/2022,83.1,"Arcia, Orlando",line_drive,316,88.4,23,83.9,1755,0.237,0.254,3
FF,7/29/2022,93.2,"Swanson, Dansby",fly_ball,314,90.6,36,93,2226,0.037,0.054,3
FF,7/29/2022,92.5,"Acuña Jr., Ronald",ground_ball,29,108.4,-5,92,2199,0.429,0.405,2
SL,7/27/2022,86.3,"Canó, Robinson",popup,168,64.2,54,86,2461,0.069,0.062,3
SL,7/27/2022,79.8,"Riley, Austin",line_drive,311,84.9,26,78.7,2351,0.137,0.147,3
